State,LGA,Zone,livelihood_zone,cropland_pct,travel_time_mean_min,travel_time_p90_min
22. Kogi,2204. BASSA (KOGI),1. North Central,,,,
22. Kogi,2205. DEKINA,1. North Central,,,,
22. Kogi,2207. IDAH,1. North Central,,,,
22. Kogi,2208. IGALAMELA-ODOLU,1. North Central,,,,
22. Kogi,2210. KABBA/BUNU,1. North Central,,,,
22. Kogi,2211. KOGI(K.K),1. North Central,,,,
22. Kogi,2212. LOKOJA,1. North Central,,,,
22. Kogi,2213. MOPAMURO,1. North Central,,,,
22. Kogi,2214. OFU,1. North Central,,,,
22. Kogi,2216. OKEHI,1. North Central,,,,
22. Kogi,2217. OKENE,1. North Central,,,,
22. Kogi,2218. OLAMABORO,1. North Central,,,,
22. Kogi,2220. YAGBA EAST,1. North Central,,,,
22. Kogi,2221. YAGBA WEST,1. North Central,,,,
23. Kwara,2301. ASA,1. North Central,,,,
23. Kwara,2302. BARUTEN,1. North Central,,,,
23. Kwara,2303. EDU,1. North Central,,,,
23. Kwara,2305. IFELODUN (KWARA),1. North Central,,,,
23. Kwara,2306. ILORIN EAST,1. North Central,,,,
23. Kwara,2307. ILORIN SOUTH,1. North Central,,,,
23. Kwara,2308. ILORIN WEST,1. North Central,,,,
23. Kwara,2309. IREPODUN (KWARA),1. North Central,,,,
23. Kwara,2311. KAIAMA,1. North Central,,,,
23. Kwara,2312. MORO,1. North Central,,,,
23. Kwara,2313. OFFA,1. North Central,,,,
23. Kwara,2315. OYUN,1. North Central,,,,
23. Kwara,2316. PATIGI,1. North Central,,,,
24. Lagos,2402. AJEROMI/IFELODUN,6. South West,,,,
24. Lagos,2403. ALIMOSHO,6. South West,,,,
24. Lagos,2405. APAPA,6. South West,,,,
24. Lagos,2406. BADAGRY,6. South West,,,,
24. Lagos,2410. IFAKO-IJAYE,6. South West,,,,
24. Lagos,2412. IKORORDU,6. South West,,,,
24. Lagos,2413. KOSOFE,6. South West,,,,
24. Lagos,2414. LAGOS ISLAND,6. South West,,,,
24. Lagos,2416. MUSHIN,6. South West,,,,
24. Lagos,2417. OJO,6. South West,,,,
25. Nasarawa,2501. AKWANGA,1. North Central,,,,
25. Nasarawa,2502. AWE,1. North Central,,,,
25. Nasarawa,2503. DOMA,1. North Central,,,,
25. Nasarawa,2504. KARU,1. North Central,,,,
25. Nasarawa,2507. KOKONA,1. North Central,,,,
25. Nasarawa,2508. LAFIA,1. North Central,,,,
25. Nasarawa,2509. NASARAWA (NASARAWA),1. North Central,,,,
25. Nasarawa,2510. NASARAWA EGGON,1. North Central,,,,
25. Nasarawa,2511. OBI (NASARAWA),1. North Central,,,,
25. Nasarawa,2512. TOTO,1. North Central,,,,
26. Niger,2601. AGAIE,1. North Central,,,,
26. Niger,2602. AGWARA,1. North Central,,,,
26. Niger,2604. BORGU,1. North Central,,,,
26. Niger,2605. BOSSO,1. North Central,,,,
26. Niger,2606. CHANCHAGA,1. North Central,,,,
26. Niger,2607. EDATI-IDATI,1. North Central,,,,
26. Niger,2609. GURARA,1. North Central,,,,
26. Niger,2610. KATCHA,1. North Central,,,,
26. Niger,2611. KONTAGORA,1. North Central,,,,
26. Niger,2612. LAPAI,1. North Central,,,,
26. Niger,2613. LAVUN,1. North Central,,,,
26. Niger,2615. MARIGA,1. North Central,,,,
26. Niger,2616. MASHEGU,1. North Central,,,,
26. Niger,2617. MOKWA,1. North Central,,,,
26. Niger,2618. MUYA,1. North Central,,,,
26. Niger,2619. PAIKORO,1. North Central,,,,
26. Niger,2620. RAFI,1. North Central,,,,
26. Niger,2621. RIJAU,1. North Central,,,,
26. Niger,2623. SULEJA,1. North Central,,,,
26. Niger,2624. TAFA,1. North Central,,,,
26. Niger,2625. WUSHISHI,1. North Central,,,,
27. Ogun,2701. ABEOKUTA NORTH,6. South West,,,,
27. Ogun,2702. ABEOKUTA SOUTH,6. South West,,,,
27. Ogun,2703. ADO-ODO/OTA,6. South West,,,,
27. Ogun,2704. EGBADO-NORTH/YEWA,6. South West,,,,
27. Ogun,2705. EGBADO-SOUTH/,6. South West,,,,
27. Ogun,2707. IFO,6. South West,,,,
27. Ogun,2709. IJEBU-NORTH,6. South West,,,,
27. Ogun,2710. IJEBU-NORTH-EAST,6. South West,,,,
27. Ogun,2711. IJEBU-ODE,6. South West,,,,
27. Ogun,2713. IMEKO/AFON,6. South West,,,,
27. Ogun,2714. IPOKIA,6. South West,,,,
27. Ogun,2715. OBAFEMI-OWODE,6. South West,,,,
27. Ogun,2716. ODEDA,6. South West,,,,
27. Ogun,2717. ODOGBOLU,6. South West,,,,
27. Ogun,2719. REMO NORTH,6. South West,,,,
27. Ogun,2720. SAGAMU,6. South West,,,,
28. Ondo,2801. AKOKO NORTH EAST,6. South West,,,,
28. Ondo,2806. AKURE SOUTH,6. South West,,,,
28. Ondo,2808. IDANRE,6. South West,,,,
28. Ondo,2810. ILAJE,6. South West,,,,
28. Ondo,2811. ILEOLUJI/OKEIGBO,6. South West,,,,
28. Ondo,2812. IRELE,6. South West,,,,
28. Ondo,2813. ODIGBO,6. South West,,,,
28. Ondo,2814. OKITIPUPA,6. South West,,,,
28. Ondo,2816. ONDO WEST,6. South West,,,,
28. Ondo,2817. OSE,6. South West,,,,
28. Ondo,2818. OWO,6. South West,,,,
29. Osun,2901. ATAKUMOSA EAST,6. South West,,,,
29. Osun,2904. AYEDIRE,6. South West,,,,
29. Osun,2905. BOLOWADURO,6. South West,,,,
29. Osun,2910. EJIGBO,6. South West,,,,
29. Osun,2911. IFE CENTRAL,6. South West,,,,
29. Osun,2912. IFE EAST,6. South West,,,,
29. Osun,2913. IFE NORTH,6. South West,,,,
29. Osun,2915. IFEDAYO,6. South West,,,,
29. Osun,2921. IREWOLE,6. South West,,,,
29. Osun,2922. ISOKAN,6. South West,,,,
29. Osun,2923. IWO,6. South West,,,,
29. Osun,2924. OBOKUN,6. South West,,,,
29. Osun,2926. OLA-OLUWA,6. South West,,,,
29. Osun,2927. OLORUNDA,6. South West,,,,
29. Osun,2928. ORIADE,6. South West,,,,
29. Osun,2929. OROLU,6. South West,,,,
29. Osun,2930. OSOGBO,6. South West,,,,
3. Akwa Ibom,301. ABAK,5. South South,,,,
3. Akwa Ibom,305. ETIM EKPO,5. South South,,,,
3. Akwa Ibom,307. IBENO,5. South South,,,,
3. Akwa Ibom,308. IBESIKPO ASUTAN,5. South South,,,,
3. Akwa Ibom,311. IKONO,5. South South,,,,
3. Akwa Ibom,312. IKOT ABASI,5. South South,,,,
3. Akwa Ibom,314. INI,5. South South,,,,
3. Akwa Ibom,316. MBO,5. South South,,,,
3. Akwa Ibom,318. NSIT ATAI,5. South South,,,,
3. Akwa Ibom,319. NSIT EKET,5. South South,,,,
3. Akwa Ibom,320. NSIT IBOM,5. South South,,,,
3. Akwa Ibom,321. NSIT UBIUM,5. South South,,,,
3. Akwa Ibom,322. OBOT AKARA,5. South South,,,,
3. Akwa Ibom,324. ONNA,5. South South,,,,
3. Akwa Ibom,326. ORUK ANAM,5. South South,,,,
3. Akwa Ibom,327. UDUNG UKO,5. South South,,,,
3. Akwa Ibom,328. UKANAFUN,5. South South,,,,
3. Akwa Ibom,329. URUAN,5. South South,,,,
30. Oyo,3003. ATIBA,6. South West,,,,
30. Oyo,3005. EGBEDA,6. South West,,,,
30. Oyo,3006. IBADAN NORTH,6. South West,,,,
30. Oyo,3007. IBADAN NORTH EAST,6. South West,,,,
30. Oyo,3010. IBADAN SOUTH WEST,6. South West,,,,
30. Oyo,3011. IBARAPA CENTRAL,6. South West,,,,
30. Oyo,3012. IBARAPA EAST,6. South West,,,,
30. Oyo,3013. IBARAPA NORTH,6. South West,,,,
30. Oyo,3017. ITESIWAJU,6. South West,,,,
30. Oyo,3018. IWAJOWA,6. South West,,,,
30. Oyo,3019. KAJOLA,6. South West,,,,
30. Oyo,3022. OGBOMOSO SOUTH,6. South West,,,,
30. Oyo,3025. OLUYOLE,6. South West,,,,
30. Oyo,3027. ORELOPE,6. South West,,,,
30. Oyo,3030. OYO WEST,6. South West,,,,
30. Oyo,3031. SAKI EAST,6. South West,,,,
31. Plateau,3101. BARKIN LADI,1. North Central,,,,
31. Plateau,3102. BASSA (PLATEAU),1. North Central,,,,
31. Plateau,3103. BOKKOS,1. North Central,,,,
